,City,High School Completion,Income Inequality,Life Expectancy,Neighborhood racial/ethnic segregation,Racial/ethnic diversity,"Unemployment - annual, neighborhood-level",Uninsured,STATE_ABBR,no_of_crimes
415,Mesquite,80.4,-15.4,77.7,9.8,76.8,4.8,22.8,TX,6
416,Midland,85.1,4.3,78.3,12.3,64.3,3.3,18.5,TX,93
417,Mission,71.9,-22.2,80.2,19.5,23.1,7.8,31.0,TX,2
418,Missouri City,91.5,12.2,79.8,17.5,89.3,6.7,10.5,TX,40
419,New Braunfels,90.9,-3.8,79.4,9.1,56.9,3.4,14.2,TX,38
420,North Richland Hills,91.8,-0.3,79.4,7.6,59.2,4.8,13.9,TX,48
421,Odessa,79.8,-9.2,76.3,10.0,59.3,6.0,20.0,TX,38
422,Yuma,79.0,-25.2,78.1,10.6,58.3,9.9,13.1,AZ,95
423,Pasadena,72.2,-16.9,77.1,21.3,58.2,9.4,28.8,TX,163
424,Pasadena,88.3,4.0,81.9,10.0,84.8,4.2,8.4,CA,163
425,Pearland,94.8,18.7,80.4,10.7,87.1,3.2,7.7,TX,28
426,Pflugerville,92.2,12.9,80.1,4.2,82.0,4.1,10.9,TX,19
427,Plano,93.6,15.9,81.6,10.6,78.4,3.7,12.5,TX,132
428,Richardson,92.2,6.7,81.5,11.2,79.3,3.8,15.2,TX,50
429,Round Rock,92.8,8.0,79.2,5.3,78.4,5.2,10.0,TX,31
430,Rowlett,93.7,15.9,79.8,2.8,77.4,5.1,13.2,TX,44
431,San Angelo,85.9,-20.0,77.7,8.2,59.5,3.9,16.1,TX,41
432,San Antonio,82.4,-19.6,78.0,15.8,63.2,5.5,18.7,TX,311
433,San Marcos,87.3,-33.6,78.3,7.0,63.2,7.5,17.2,TX,68
434,San Marcos,85.3,3.6,82.4,11.0,70.1,3.9,9.7,CA,68
435,Sugar Land,94.0,31.1,81.8,10.5,83.8,4.7,7.7,TX,15
436,Temple,90.0,-19.1,77.7,9.2,64.6,5.5,14.0,TX,13
437,Tyler,85.4,-18.7,77.4,17.4,72.2,5.5,19.2,TX,47
438,Victoria,83.4,-17.5,78.0,10.9,62.2,5.8,21.7,TX,20
439,Waco,81.6,-32.3,77.3,14.9,70.7,4.8,17.4,TX,12
440,Wichita Falls,85.5,-26.5,75.8,9.4,67.8,5.1,17.3,TX,40
441,Layton,94.2,0.5,79.6,6.9,40.5,3.3,10.1,UT,67
442,Ogden,83.7,-20.7,77.0,12.5,51.8,4.8,15.3,UT,19
443,Orem,92.7,-6.9,80.4,5.9,46.7,3.9,12.1,UT,2
444,Provo,92.9,-23.7,79.7,8.1,48.7,4.6,11.9,UT,58
445,St. George,93.1,-12.9,81.3,5.5,38.0,3.7,15.9,UT,54
446,Salt Lake City,88.8,-11.4,78.4,16.1,63.2,3.6,13.8,UT,249
447,Sandy,94.9,11.2,79.7,7.8,42.7,2.8,8.3,UT,67
448,South Jordan,97.1,21.8,80.5,4.6,39.8,1.6,4.6,UT,44
449,Taylorsville,89.7,-8.3,78.8,4.0,58.3,4.2,12.6,UT,4
450,West Jordan,91.8,2.3,79.1,5.3,55.2,4.0,10.9,UT,25
451,Alexandria,93.0,19.9,81.1,12.2,79.0,3.0,11.9,VA,161
452,Chesapeake,92.1,2.3,78.1,12.7,67.5,4.7,8.3,VA,149
453,Hampton,91.4,-16.1,76.1,11.4,69.0,6.1,9.5,VA,158
454,Harrisonburg,83.9,-25.3,79.6,6.5,63.4,4.9,13.6,VA,55
455,Leesburg,91.5,28.4,80.9,7.2,69.1,3.4,10.5,VA,102
456,Lynchburg,88.7,-24.1,77.2,12.0,60.4,5.8,10.5,VA,70
457,Conway,94.0,-24.4,76.3,5.1,52.8,3.2,9.4,AR,20
458,Newport News,91.0,-20.2,76.5,14.0,74.9,6.2,12.7,VA,153
459,Norfolk,88.0,-20.9,75.5,17.8,73.8,7.6,13.4,VA,345
460,Portsmouth,88.3,-23.5,73.8,20.1,64.7,7.8,11.7,VA,258
461,Roanoke,86.2,-29.3,75.0,20.8,67.2,6.3,12.8,VA,117
462,Suffolk,89.9,-5.7,76.5,14.4,64.7,6.2,7.3,VA,72
463,Virginia Beach,93.5,1.2,78.5,9.2,71.1,4.6,8.8,VA,439
464,Fort Smith,81.6,-30.8,75.2,13.7,68.1,4.8,14.0,AR,53
465,Bellingham,94.5,-18.1,81.0,4.4,46.6,6.2,5.9,WA,177
466,Burien,82.0,-5.7,79.9,8.6,82.4,5.6,12.5,WA,78
467,Everett,87.3,-11.6,78.2,7.0,66.0,5.2,10.7,WA,205
468,Federal Way,88.9,-6.2,79.3,4.5,86.8,5.6,10.1,WA,126
469,Kennewick,87.5,-16.1,79.2,9.7,55.1,6.0,9.3,WA,36
470,Kent,85.7,-1.5,79.8,7.7,85.0,5.5,9.2,WA,321
471,Kirkland,96.6,25.7,83.4,3.5,56.8,3.3,4.3,WA,24
472,Marysville,90.8,-1.8,79.5,3.1,53.8,4.5,5.7,WA,51
473,Pasco,75.0,-10.7,79.7,15.0,58.8,6.2,14.3,WA,66
474,Jonesboro,90.6,-27.0,76.0,12.3,50.8,6.9,10.2,AR,52
475,Redmond,97.0,32.6,83.5,5.3,67.4,3.5,3.0,WA,103
476,Renton,91.0,3.5,81.4,6.5,85.7,3.7,8.0,WA,130
477,Richland,96.1,4.4,79.8,7.0,50.2,4.0,6.4,WA,149
478,Sammamish,97.4,56.4,84.4,2.9,60.3,2.8,1.3,WA,34
479,Seattle,94.8,11.8,81.2,11.0,70.9,4.1,4.6,WA,2172
480,Shoreline,93.5,5.6,79.6,4.5,66.8,3.8,6.6,WA,51
481,Spokane,92.8,-21.1,77.6,4.9,43.0,5.9,6.6,WA,600
482,Spokane Valley,93.3,-19.5,77.8,4.4,33.8,5.4,8.2,WA,90
483,Tacoma,89.2,-11.7,77.6,7.7,77.6,5.2,8.2,WA,511
484,Vancouver,91.0,-10.1,78.6,4.9,58.0,5.0,9.2,WA,207
485,Yakima,75.7,-23.2,78.2,14.3,58.7,6.3,14.6,WA,149
486,Little Rock,91.3,-16.0,76.8,23.9,68.3,4.1,9.6,AR,16
487,Appleton,92.5,-13.2,78.7,7.6,39.8,3.6,5.9,WI,83
488,North Little Rock,88.1,-29.1,75.5,16.6,63.6,6.8,11.3,AR,20
489,Eau Claire,94.4,-20.4,78.2,5.9,29.8,4.0,6.9,WI,26
490,Green Bay,87.5,-23.0,79.3,13.5,56.3,3.6,9.0,WI,44
491,Janesville,92.4,-17.0,78.4,7.6,30.2,4.6,6.2,WI,31
492,Kenosha,88.6,-17.7,77.6,10.9,55.1,6.9,8.3,WI,21
493,La Crosse,93.9,-26.7,78.9,6.3,28.5,4.3,6.2,WI,24
494,Madison,95.5,-8.9,80.5,9.9,56.4,3.1,4.4,WI,398
495,Milwaukee,84.0,-31.7,76.1,34.7,80.6,6.8,10.3,WI,292
